number,group,age,gender,education,familyincome,offender,SAVRY1,SAVRY2,SAVRY3,SAVRY4,SAVRY5,SAVRY6,SAVRY7,SAVRY8,SAVRY9,SAVRY10,H,SAVRY11,SAVRY12,SAVRY13,SAVRY14,SAVRY15,SAVRY16,S,SAVRY17,SAVRY18,SAVRY19,SAVRY20,SAVRY21,SAVRY22,SAVRY23,SAVRY24,I,P1,P2,P3,P4,P5,P6,P,Reoffending
05010005,1,16,1,4,1,4,1,2,2,1,1,1,1,1,1,1,0,2,1,1,1,2,3,1,1,1,2,1,1,2,1,3,1,2,2,2,1,2,2,5,0
03010071,1,18,1,8,1,4,2,1,1,1,1,1,1,1,3,2,1,2,1,2,3,2,1,1,2,2,1,2,2,2,1,1,,2,2,2,1,2,1,4,0
02010042,1,17,1,7,1,5,3,2,2,2,1,1,2,1,1,3,2,3,3,3,2,1,2,3,2,1,1,2,3,1,3,3,,2,2,1,1,2,1,3,0
03010047,1,17,1,5,1,4,3,2,3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,1,1,1,2,2,0
02010025,1,17,1,8,1,5,3,1,1,2,1,2,2,1,2,2,1,3,2,2,1,1,1,0,2,2,2,2,2,2,1,1,0,1,2,1,1,2,2,3,0
03010004,1,18,1,5,1,1,1,2,3,1,1,2,3,3,2,2,3,2,1,1,1,1,3,1,1,2,2,2,1,3,3,3,3,1,1,2,2,2,2,4,1
02010018,1,17,1,9,1,2,3,3,3,2,1,2,2,2,3,3,5,3,2,2,3,2,2,2,2,3,2,2,2,3,3,2,3,2,2,2,1,1,2,4,1
04010001,1,18,1,6,2,4,2,1,1,2,1,2,2,2,2,3,1,3,1,1,3,1,2,2,2,2,2,1,1,1,1,3,,1,1,1,1,2,1,1,0
05010023,1,18,1,7,2,4,2,1,2,1,1,3,3,1,3,2,3,2,2,2,2,2,2,0,1,2,1,2,1,2,1,3,,2,2,1,1,1,1,2,0
03010008,1,18,1,8,2,1,3,1,3,1,1,2,1,3,3,2,4,2,1,2,2,2,2,0,2,2,1,2,1,1,2,2,,1,2,2,1,1,1,2,0
02010080,1,18,1,9,2,5,3,3,2,2,1,1,2,2,1,3,2,3,2,2,2,3,2,2,1,2,1,2,2,1,2,2,,1,2,2,2,2,2,4,0
03010058,1,17,1,8,2,4,3,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,2,1,2,2,2,1,2,2,2,1,,1,2,2,2,1,1,3,0
02010088,1,17,1,9,2,3,1,1,1,1,1,2,1,1,3,1,1,3,1,2,2,2,1,1,1,2,2,1,1,1,1,2,,1,2,1,1,1,1,1,0
02010058,1,16,1,8,2,3,3,3,1,1,1,1,2,1,2,3,3,2,2,2,2,3,2,0,1,1,1,2,1,1,2,1,0,2,1,2,2,1,1,3,0
05010013,1,16,1,2,2,4,2,1,1,2,1,1,1,1,1,1,0,2,1,1,2,2,2,0,2,2,2,2,2,1,2,1,0,1,1,1,1,1,1,0,0
04010022,1,15,1,8,2,4,3,3,2,3,1,2,2,1,2,3,4,3,1,1,3,3,2,2,2,2,1,1,1,1,2,3,1,1,2,2,2,2,1,4,0
04010017,1,14,1,4,2,4,3,2,3,2,1,2,1,1,2,3,3,3,1,1,3,2,1,2,2,1,1,1,1,2,1,3,1,1,2,1,1,2,1,2,0
05010014,1,18,1,10,2,3,3,1,3,1,2,3,3,2,1,2,4,3,2,2,3,2,1,2,2,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1
04010014,1,18,1,5,2,4,2,2,1,1,1,1,1,1,1,1,0,2,2,2,2,3,3,2,1,3,3,2,3,2,3,3,5,1,1,1,1,1,1,0,1
02010059,1,17,1,5,2,5,3,3,1,3,2,3,3,2,1,1,5,3,2,1,3,3,2,3,2,3,2,3,3,2,3,3,5,2,2,2,2,2,2,6,1
03010023,1,17,1,9,2,1,2,2,2,1,1,3,3,1,3,3,4,3,2,2,3,2,1,2,2,3,2,1,2,2,2,3,2,1,2,1,1,2,2,3,1
